judet,localitate,tip artera,denumire artera,numar,codpostal,sector
Bucuresti,Bucuresti,Stradă,Ady Endre,nr. 2-T,11374,1
Bucuresti,Bucuresti,Stradă,Postelnicului,,11375,1
Bucuresti,Bucuresti,Intrare,Călugăreanu Anda,,11381,1
Bucuresti,Bucuresti,Stradă,Docenţilor,nr. 5A-T,11402,1
Bucuresti,Bucuresti,Stradă,Docenţilor,nr. 16-T,11404,1
Bucuresti,Bucuresti,Stradă,"Petöfi Şándor, poet",nr. 1-T,11405,1
Bucuresti,Bucuresti,Stradă,"Petöfi Şándor, poet",nr. 2-T,11406,1
Bucuresti,Bucuresti,Stradă,Gandhi Mahatma,,11407,1
Bucuresti,Bucuresti,Stradă,"Dorobanţu Vasile, serg.",,11408,1
Bucuresti,Bucuresti,Bulevard,Mihalache Ion,nr. 100-104,11201,1
Bucuresti,Bucuresti,Bulevard,Mihalache Ion,nr. 106,11202,1
Bucuresti,Bucuresti,Stradă,Clucerului,nr. 29-43,11363,1
Bucuresti,Bucuresti,Stradă,Clucerului,nr. 45-T,11364,1
Bucuresti,Bucuresti,Stradă,Clucerului,nr. 54-64,11367,1
Bucuresti,Bucuresti,Stradă,Clucerului,nr. 66-T,11368,1
Bucuresti,Bucuresti,Intrare,1 Mai,,11369,1
Bucuresti,Bucuresti,Stradă,Pivnicerului,,11382,1
Bucuresti,Bucuresti,Stradă,Paharnicului,nr. 1-T,11383,1
Bucuresti,Bucuresti,Stradă,Paharnicului,nr. 2-T,11384,1
Bucuresti,Bucuresti,Intrare,Şetrarului,,11385,1
Bucuresti,Bucuresti,Stradă,Boiangiu Radu,nr. 1-T,11386,1
Bucuresti,Bucuresti,Stradă,Boiangiu Radu,nr. 2-8,11387,1
Bucuresti,Bucuresti,Stradă,Boiangiu Radu,nr. 10-16,11388,1
Bucuresti,Bucuresti,Stradă,Boiangiu Radu,nr. 18-T,11389,1
Bucuresti,Bucuresti,Stradă,Racotă Nicolae,nr. 1-T,11391,1
Bucuresti,Bucuresti,Stradă,Racotă Nicolae,nr. 2-8,11392,1
Bucuresti,Bucuresti,Stradă,Racotă Nicolae,nr. 10-T,11393,1
Bucuresti,Bucuresti,Stradă,Stolnicului,,11394,1
Bucuresti,Bucuresti,Stradă,"Mirea George Demetrescu, pictor",nr. 1-T,11395,1
Bucuresti,Bucuresti,Stradă,"Mirea George Demetrescu, pictor",nr. 2-T,11396,1
Bucuresti,Bucuresti,Stradă,Medelnicerului,,11397,1
Bucuresti,Bucuresti,Intrare,Stolnicului,,11398,1
Bucuresti,Bucuresti,Şosea,Titulescu Nicolae,nr. 119-121,11136,1
Bucuresti,Bucuresti,Şosea,Titulescu Nicolae,nr. 76-90,11145,1
Bucuresti,Bucuresti,Şosea,Titulescu Nicolae,nr. 92-T,11146,1
Bucuresti,Bucuresti,Stradă,Valea Merilor,nr. 1-T,11271,1
Bucuresti,Bucuresti,Stradă,Valea Merilor,nr. 2-T,11272,1
Bucuresti,Bucuresti,Stradă,Comana,nr. 1-T,11273,1
Bucuresti,Bucuresti,Stradă,Comana,nr. 2-T,11274,1
Bucuresti,Bucuresti,Stradă,Lovinescu Eugen,nr. 1-T,11275,1
Bucuresti,Bucuresti,Stradă,Lovinescu Eugen,nr. 2-T,11276,1
Bucuresti,Bucuresti,Stradă,Ialomicioarei,nr. 1-T,11277,1
Bucuresti,Bucuresti,Stradă,Ialomicioarei,nr. 2-T,11278,1
Bucuresti,Bucuresti,Stradă,Bahluiului,nr. 1-T,11281,1
Bucuresti,Bucuresti,Stradă,Bahluiului,nr. 2-T,11282,1
Bucuresti,Bucuresti,Stradă,"Zaharia, slt.",nr. 1-T,11283,1
Bucuresti,Bucuresti,Stradă,"Zaharia, slt.",nr. 2-T,11284,1
Bucuresti,Bucuresti,Cale,Griviţei,nr. 217-285,10713,1
Bucuresti,Bucuresti,Cale,Griviţei,nr. 160-166,10746,1
Bucuresti,Bucuresti,Cale,Griviţei,nr. 168-172,10747,1
Bucuresti,Bucuresti,Cale,Griviţei,nr. 174-176,10748,1
Bucuresti,Bucuresti,Şosea,Titulescu Nicolae,nr. 123-163,11137,1
Bucuresti,Bucuresti,Şosea,Titulescu Nicolae,nr. 165-T,11138,1
Bucuresti,Bucuresti,Stradă,Marinescu Costache,nr. 1-T,11285,1
Bucuresti,Bucuresti,Stradă,Marinescu Costache,nr. 2-T,11286,1
Bucuresti,Bucuresti,Stradă,Cipariu Timotei,,11287,1
Bucuresti,Bucuresti,Stradă,"Cocărăscu Octav, cpt.",nr. 1-13,11291,1
Bucuresti,Bucuresti,Stradă,"Cocărăscu Octav, cpt.",nr. 15-47,11292,1
Bucuresti,Bucuresti,Stradă,"Cocărăscu Octav, cpt.",nr. 2-54,11294,1
Bucuresti,Bucuresti,Stradă,"Câmpeanu Alexandru, mr.",nr. 1-35,11235,1
Bucuresti,Bucuresti,Stradă,"Câmpeanu Alexandru, mr.",nr. 37-T,11236,1
Bucuresti,Bucuresti,Stradă,"Câmpeanu Alexandru, mr.",nr. 2-32,11237,1
Bucuresti,Bucuresti,Stradă,"Câmpeanu Alexandru, mr.",nr. 34-T,11238,1
Bucuresti,Bucuresti,Intrare,"Câmpeanu Alexandru, mr.",,11239,1
Bucuresti,Bucuresti,Stradă,Căldăruşani,,11241,1
Bucuresti,Bucuresti,Stradă,Maica Alexandra,nr. 1-T,11242,1
Bucuresti,Bucuresti,Stradă,Maica Alexandra,nr. 2-T,11243,1
Bucuresti,Bucuresti,Stradă,Mironiuc Vasile,,11244,1
Bucuresti,Bucuresti,Stradă,"Vlădoianu Barbu, g-ral.",nr. 1-T,11251,1
Bucuresti,Bucuresti,Stradă,"Vlădoianu Barbu, g-ral.",nr. 2-10,11252,1
Bucuresti,Bucuresti,Stradă,"Vlădoianu Barbu, g-ral.",nr. 12-T,11253,1
Bucuresti,Bucuresti,Stradă,Neculce Ion,nr. 1-T,11254,1
Bucuresti,Bucuresti,Stradă,Neculce Ion,nr. 2-38,11255,1
Bucuresti,Bucuresti,Stradă,Neculce Ion,nr. 40-T,11256,1
Bucuresti,Bucuresti,Bulevard,Banul Manta,nr. 9-29,11222,1
Bucuresti,Bucuresti,Bulevard,Banul Manta,nr. 31-T,11223,1
Bucuresti,Bucuresti,Bulevard,Banul Manta,nr. 2-10,11224,1
Bucuresti,Bucuresti,Bulevard,Banul Manta,nr. 12-16,11225,1
Bucuresti,Bucuresti,Bulevard,Banul Manta,nr. 18-22,11226,1
Bucuresti,Bucuresti,Bulevard,Banul Manta,nr. 24-T,11227,1
Bucuresti,Bucuresti,Stradă,Sarandy Frosa,nr. 1-T,11231,1
Bucuresti,Bucuresti,Stradă,Sarandy Frosa,nr. 2-T,11232,1
Bucuresti,Bucuresti,Stradă,Manolescu Grigore,nr. 1-T,11233,1
Bucuresti,Bucuresti,Stradă,Manolescu Grigore,nr. 2-T,11234,1
Bucuresti,Bucuresti,Stradă,"Răducanu Grigore, sold.",nr. 1-T,11245,1
Bucuresti,Bucuresti,Stradă,"Răducanu Grigore, sold.",nr. 2-T,11246,1
Bucuresti,Bucuresti,Stradă,Iulian Ştefan,nr. 1-T,11247,1
Bucuresti,Bucuresti,Stradă,Iulian Ştefan,nr. 2-T,11248,1
Bucuresti,Bucuresti,Bulevard,Mihalache Ion,nr. 81-91,11175,1
Bucuresti,Bucuresti,Bulevard,Banul Manta,nr. 1-7,11221,1
Bucuresti,Bucuresti,Stradă,Rudeanu Teodosie,nr. 1-T,11257,1
Bucuresti,Bucuresti,Stradă,Rudeanu Teodosie,nr. 2-36,11258,1
Bucuresti,Bucuresti,Stradă,Rudeanu Teodosie,nr. 38-T,11259,1
Bucuresti,Bucuresti,Stradă,Petru Maior,nr. 1-73,11261,1
Bucuresti,Bucuresti,Stradă,Petru Maior,nr. 75-81,11262,1
